time,open,high,low,close,volume
2021-01-29 09:00:00+00:00,36261.2,38000.0,34761.1,36900.0,5725.05972929
2021-01-29 10:00:00+00:00,36900.8,37182.2,35508.8,36615.5,2120.16865036
2021-01-29 11:00:00+00:00,36613.8,37212.7,36416.8,37025.6,1832.87034225
2021-01-29 12:00:00+00:00,37025.5,37888.0,36550.0,37864.3,2148.65383331
2021-01-29 13:00:00+00:00,37857.8,38562.5,37083.7,38262.7,2275.72548016
2021-01-29 14:00:00+00:00,38262.7,38441.6,36473.5,37075.2,2657.85014552
2021-01-29 15:00:00+00:00,37069.5,37519.5,36783.0,37129.9,1524.23563422
2021-01-29 16:00:00+00:00,37131.8,37538.6,35814.5,36026.5,2013.48652203
2021-01-29 17:00:00+00:00,36026.4,36421.8,35564.5,35733.9,1600.62125241
2021-01-29 18:00:00+00:00,35736.1,35998.5,34571.2,35192.8,2122.71774596
2021-01-29 19:00:00+00:00,35196.9,35354.0,33516.5,34332.9,1904.18832974
2021-01-29 20:00:00+00:00,34323.8,34942.3,33863.4,34582.5,1097.47593815
2021-01-29 21:00:00+00:00,34565.9,34816.1,34126.9,34643.5,623.19846637
2021-01-29 22:00:00+00:00,34644.8,35333.6,34245.6,34484.2,640.08627093
2021-01-29 23:00:00+00:00,34479.9,34656.7,33704.1,34247.1,1048.96480361
2021-01-30 00:00:00+00:00,34251.1,34873.0,34222.7,34237.1,2702.65502327
2021-01-30 01:00:00+00:00,34237.1,34928.6,33900.0,34103.8,925.44776424
2021-01-30 02:00:00+00:00,34103.8,34439.5,33666.0,33835.1,1007.83470863
2021-01-30 03:00:00+00:00,33845.3,33981.7,32829.1,33270.0,1291.0059105999999
2021-01-30 04:00:00+00:00,33272.7,33654.9,33131.9,33492.9,1232.83933637
2021-01-30 05:00:00+00:00,33499.4,33981.7,33159.3,33497.5,1155.64284677
2021-01-30 06:00:00+00:00,33495.8,33844.5,33131.9,33796.9,1158.06740024
2021-01-30 07:00:00+00:00,33793.0,34195.8,33395.2,34027.4,1213.80664403
2021-01-30 08:00:00+00:00,34025.8,34354.9,33766.1,33873.4,1186.37668688
2021-01-30 09:00:00+00:00,33870.8,34411.0,33801.3,34246.6,1445.37786322
