id,time,open,high,low,close,volume
0,2021-03-30T08:00:00.000Z,58102.7,58191.1,57717.4,57999.9,502.20304433
1,2021-03-30T07:00:00.000Z,58061.3,58272.3,57941.2,58102.8,777.17226429
2,2021-03-30T06:00:00.000Z,57676.1,58276.8,57504.7,58063.4,604.22826318
3,2021-03-30T05:00:00.000Z,57569.7,57687.5,57387.9,57679.0,473.18467809
4,2021-03-30T04:00:00.000Z,57187.6,57855.4,57075.0,57573.9,629.58124532
5,2021-03-30T03:00:00.000Z,57331.1,57398.2,57119.0,57190.1,507.96593127
6,2021-03-30T02:00:00.000Z,57439.3,57449.9,57183.7,57331.1,391.99041142
7,2021-03-30T01:00:00.000Z,57535.6,57612.4,57260.0,57438.6,523.11769896
8,2021-03-30T00:00:00.000Z,57634.5,57773.3,57410.0,57535.7,441.5393752
9,2021-03-29T23:00:00.000Z,57745.8,57789.4,57300.0,57634.6,249.70556723
10,2021-03-29T22:00:00.000Z,57551.7,57897.4,57484.8,57744.4,348.13782995
11,2021-03-29T21:00:00.000Z,57268.1,57644.0,57201.9,57552.7,108.68303893
12,2021-03-29T20:00:00.000Z,57676.7,57731.2,57110.0,57268.1,271.47342256
13,2021-03-29T19:00:00.000Z,57820.0,57866.5,57410.4,57675.0,174.13705179
14,2021-03-29T18:00:00.000Z,57912.4,58015.9,57567.7,57816.8,221.88010786
15,2021-03-29T17:00:00.000Z,57622.3,58305.0,57575.1,57908.2,409.11480938
16,2021-03-29T16:00:00.000Z,57718.0,57844.2,57200.0,57622.4,478.92508421
17,2021-03-29T15:00:00.000Z,58134.2,58192.4,57278.7,57718.0,651.42596489
18,2021-03-29T14:00:00.000Z,57962.8,58184.7,57837.6,58134.1,396.767721
19,2021-03-29T13:00:00.000Z,58040.6,58201.3,57806.9,57962.9,361.73356567
20,2021-03-29T12:00:00.000Z,57850.0,58400.0,57800.0,58033.7,438.91354028
21,2021-03-29T11:00:00.000Z,58038.8,58100.0,57613.4,57849.9,465.33007979
22,2021-03-29T10:00:00.000Z,57934.7,58342.1,57772.4,58029.7,667.64653466
23,2021-03-29T09:00:00.000Z,57139.5,58230.5,56987.5,57934.8,1140.94326156
24,2021-03-29T08:00:00.000Z,55908.5,57232.3,55908.5,57139.4,1055.86683437
25,2021-03-29T07:00:00.000Z,55393.8,56165.8,55358.9,55908.5,690.35005988
26,2021-03-29T06:00:00.000Z,55045.5,55495.6,55029.5,55393.8,462.34093363
27,2021-03-29T05:00:00.000Z,55313.5,55424.2,54920.0,55045.4,406.86185248
28,2021-03-29T04:00:00.000Z,55377.9,55508.6,55100.0,55313.6,437.87717557
29,2021-03-29T03:00:00.000Z,55366.1,55548.7,55283.6,55372.4,257.13715528
30,2021-03-29T02:00:00.000Z,55249.8,55519.3,55150.3,55372.3,405.52900764
31,2021-03-29T01:00:00.000Z,55412.4,55498.2,54982.9,55249.8,385.7961414
32,2021-03-29T00:00:00.000Z,55777.2,55922.4,55296.0,55412.4,447.147425
33,2021-03-28T23:00:00.000Z,55605.5,55876.8,55509.8,55781.5,262.00436515
34,2021-03-28T22:00:00.000Z,55143.3,55656.0,55009.4,55605.5,257.28019802
35,2021-03-28T21:00:00.000Z,54869.1,55356.9,54827.1,55148.0,130.30023307
36,2021-03-28T20:00:00.000Z,55205.6,55214.2,54770.7,54869.0,319.44378446
37,2021-03-28T19:00:00.000Z,55198.8,55410.8,54689.8,55205.6,404.7604612
38,2021-03-28T18:00:00.000Z,55960.6,55999.9,55172.1,55204.9,378.75251087
39,2021-03-28T17:00:00.000Z,56265.1,56317.7,55816.8,55962.2,193.79940493
40,2021-03-28T16:00:00.000Z,56364.5,56496.2,56008.6,56265.1,254.35403559
41,2021-03-28T15:00:00.000Z,55807.1,56387.7,55654.6,56364.5,318.37433405
42,2021-03-28T14:00:00.000Z,55749.6,55848.0,55511.3,55807.2,199.40896335
43,2021-03-28T13:00:00.000Z,55520.1,55891.5,55467.0,55744.0,169.67909897
44,2021-03-28T12:00:00.000Z,55784.8,56000.1,55300.0,55527.0,488.61746963
45,2021-03-28T11:00:00.000Z,56092.2,56092.2,55770.4,55779.5,441.98112342
46,2021-03-28T10:00:00.000Z,56125.8,56189.7,55700.0,56093.3,736.89854045
47,2021-03-28T09:00:00.000Z,56295.2,56553.9,56016.9,56117.9,909.58165889
48,2021-03-28T08:00:00.000Z,56199.9,56300.0,55973.7,56297.0,495.49985346
49,2021-03-28T07:00:00.000Z,55932.4,56270.1,55861.0,56200.0,503.55622271
50,2021-03-28T06:00:00.000Z,56262.1,56317.9,55828.3,55932.4,1152.44675658
51,2021-03-28T05:00:00.000Z,56268.7,56400.0,56095.5,56262.0,1593.99231761
52,2021-03-28T04:00:00.000Z,56040.2,56487.5,56040.2,56268.7,559.00267956
53,2021-03-28T03:00:00.000Z,55805.6,56155.2,55742.0,56040.2,473.01479234
54,2021-03-28T02:00:00.000Z,56059.1,56107.9,55737.0,55801.8,520.06910644
55,2021-03-28T01:00:00.000Z,56003.4,56178.4,55759.6,56069.3,434.89284063
56,2021-03-28T00:00:00.000Z,55810.0,56100.0,55537.9,56003.4,668.33671116
57,2021-03-27T23:00:00.000Z,56368.8,56434.1,55715.8,55814.2,253.11493428
58,2021-03-27T22:00:00.000Z,56431.5,56529.3,56024.1,56356.9,302.99837473
59,2021-03-27T21:00:00.000Z,55864.5,56629.9,55685.3,56432.4,425.88056957
60,2021-03-27T20:00:00.000Z,55766.7,55908.0,55681.2,55864.5,259.11651516
61,2021-03-27T19:00:00.000Z,55730.4,55898.6,55625.1,55760.1,279.83280316
62,2021-03-27T18:00:00.000Z,56087.9,56097.9,55558.1,55730.3,428.71890154
63,2021-03-27T17:00:00.000Z,56163.7,56275.3,55847.1,56087.9,720.94230546
64,2021-03-27T16:00:00.000Z,54963.3,56223.6,54962.0,56168.6,1179.35365011
65,2021-03-27T15:00:00.000Z,54630.3,55050.7,54510.3,54967.9,515.46267551
66,2021-03-27T14:00:00.000Z,54746.0,54747.6,54376.6,54630.4,470.54067172
67,2021-03-27T13:00:00.000Z,54285.7,54860.3,54070.7,54741.1,480.47040956
68,2021-03-27T12:00:00.000Z,54452.1,54585.9,53957.2,54286.6,632.61068561
69,2021-03-27T11:00:00.000Z,54676.7,54815.1,54311.6,54446.5,667.91966065
70,2021-03-27T10:00:00.000Z,55014.9,55102.0,54666.6,54676.7,481.43142649
